Scenario,AnnotatedObstacleID,IsCollisionScenario,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,CorrectlyIdentified,CorrectCollisionIdentification,JsonFormat
ESP_Bilbao-6_9_T-1,30693,True,"[{'ObstacleID': '30693', 'OverallRiskScore': 0}]",[30693],,True,True,False,True,True,True
ESP_Ceuta-5_2_T-1,325,True,"[{'ObstacleID': '325', 'OverallRiskScore': 0}]",[325],31,True,True,False,True,True,True
ESP_Vigo-63_4_T-1,3044,True,"[{'ObstacleID': '3044', 'OverallRiskScore': 0}]",[3044],,True,True,False,True,True,True
ESP_Vigo-70_2_T-1,3393,False,[],[],3393,False,False,True,True,False,True
ESP_Vigo-70_3_T-1,3395,True,"[{'ObstacleID': '3395', 'OverallRiskScore': 0}]",[3395],,True,True,False,True,True,True
ESP_Vigo-99_21_T-1,3511,False,[],[],3515,False,False,False,False,False,True
ESP_Vigo-99_28_T-1,3517,False,[],[],3517,False,False,True,True,False,True
ESP_Vigo-99_34_T-1,3523,True,"[{'ObstacleID': '3523', 'OverallRiskScore': 0}]",[3523],,True,True,False,True,True,True
FRA_Dijon-13_1_T-1,30374,False,[],[],30374,False,False,True,True,False,True
FRA_Dijon-24_4_T-1,30504,True,"[{'ObstacleID': '30504', 'OverallRiskScore': 0}]",[30504],,True,True,False,True,True,True
FRA_Dijon-28_4_T-1,30532,True,"[{'ObstacleID': '30532', 'OverallRiskScore': 0}]",[30532],,True,True,False,True,True,True
GRC_ArchaioLimani-46_1_T-2,21,True,"[{'ObstacleID': '21', 'OverallRiskScore': 0}]",[21],,True,True,False,True,True,True
GRC_NeaSmyrni-117_1_T-6,20039,True,"[{'ObstacleID': '20039', 'OverallRiskScore': 0}]",[20039],,True,True,False,True,True,True
GRC_NeaSmyrni-154_1_T-2,20066,True,"[{'ObstacleID': '20066', 'OverallRiskScore': 0}]",[20066],,True,True,False,True,True,True
GRC_NeaSmyrni-31_1_T-12,20084,True,"[{'ObstacleID': '20084', 'OverallRiskScore': 0}]",[20084],,True,True,False,True,True,True
GRC_NeaSmyrni-73_1_T-10,20100,True,"[{'ObstacleID': '20100', 'OverallRiskScore': 0}]",[20100],20090,True,True,False,True,True,True
GRC_NeaSmyrni-87_1_T-1,20039,True,"[{'ObstacleID': '20039', 'OverallRiskScore': 0}]",[20039],,True,True,False,True,True,True
GRC_NeaSmyrni-98_1_T-1,20051,True,"[{'ObstacleID': '20051', 'OverallRiskScore': 0}]",[20051],,True,True,False,True,True,True
ITA_Empoli-2_5_T-1,358,False,[],[],358,False,False,True,True,False,True
ITA_Empoli-7_2_T-1,317,True,"[{'ObstacleID': '317', 'OverallRiskScore': 0}]",[317],,True,True,False,True,True,True
ITA_Siderno-5_3_T-1,344,False,[],[],344,False,False,True,True,False,True
USA_Austin-46_4_T-1,3277,False,[],[],3277,False,False,True,True,False,True
USA_Austin-64_7_T-1,3338,False,[],[],3338,False,False,True,True,False,True
USA_Austin-77_10_T-1,3349,True,"[{'ObstacleID': '3349', 'OverallRiskScore': 0}]",[3349],,True,True,False,True,True,True
USA_Austin-8_1_T-1,3301,True,"[{'ObstacleID': '3301', 'OverallRiskScore': 0}]",[3301],,True,True,False,True,True,True
USA_Phoenix-17_14_T-1,3658,False,[],[],3658,False,False,True,True,False,True
USA_Phoenix-17_19_T-1,3667,False,[],[],3667,False,False,True,True,False,True
USA_Washington-12_15_T-1,30614,True,"[{'ObstacleID': '30614', 'OverallRiskScore': 0}]",[30614],,True,True,False,True,True,True
USA_Washington-12_38_T-1,30629,True,"[{'ObstacleID': '30629', 'OverallRiskScore': 0}]",[30629],30610,True,True,False,True,True,True
USA_Washington-32_46_T-1,30570,True,"[{'ObstacleID': '30570', 'OverallRiskScore': 0}]",[30570],30561,True,True,False,True,True,True
USA_Washington-34_15_T-1,30579,False,[],[],30579,False,False,True,True,False,True
