Scenario,AnnotatedObstacleID,IsCollisionScenario,CollisionObstacleIDs,CleanedCollisionIDs,ExtremeRiskObstacleID,AnnotatedIDInCollisionIDs,AnnotatedIDIsOnlyCollisionID,AnnotatedIDIsExtremeRisk,CorrectlyIdentified,CorrectCollisionIdentification,JsonFormat
BEL_Nivelles-18_2_T-1,none,False,[],[],,False,False,False,False,False,True
BEL_Nivelles-3_2_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': 'N/A'}]",[None],,False,False,False,False,False,True
BEL_Nivelles-9_1_T-1,none,False,[],[],,False,False,False,False,False,True
BEL_Putte-5_7_T-1,none,True,"[{'ObstacleID': '30', 'OverallRiskScore': '1'}]",[30],30,False,False,False,False,False,True
BEL_Putte-7_3_T-1,none,False,"[{'ObstacleID': '', 'OverallRiskScore': 'N/A'}]",[''],,False,False,False,False,False,True
BEL_Zaventem-1_2_T-1,none,True,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],335,False,False,False,False,False,True
BEL_Zwevegem-2_2_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],,False,False,False,False,False,True
BEL_Zwevegem-8_4_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': '-'}]",['None'],None,False,False,False,False,False,True
CHN_Beijing-13_13_T-1,none,True,"[{'ObstacleID': 'N/A', 'OverallRiskScore': 'N/A'}]",['N/A'],3052,False,False,False,False,False,True
CHN_Beijing-13_20_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': '5'}]",['None'],None,False,False,False,False,False,True
CHN_Beijing-13_21_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],,False,False,False,False,False,True
CHN_Beijing-13_8_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,False,True
CHN_Beijing-6_9_T-1,none,True,"[{'ObstacleID': 'N/A', 'OverallRiskScore': 'N/A'}]",['N/A'],"3095, 3097, 3102",False,False,False,False,False,True
CHN_Qingdao-11_3_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': '-1'}]",['None'],None,False,False,False,False,False,True
CHN_Qingdao-12_1_T-1,none,False,[],[],,False,False,False,False,False,True
CHN_Qingdao-12_4_T-1,none,True,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],None,False,False,False,False,False,True
CHN_Qingdao-13_7_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,False,True
CHN_Qingdao-14_28_T-1,none,True,"[{'ObstacleID': '30650', 'OverallRiskScore': '0'}]",[30650],30653,False,False,False,False,False,True
CHN_Qingdao-14_29_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,False,True
CHN_Qingdao-15_2_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],,False,False,False,False,False,True
CHN_Qingdao-33_4_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],,False,False,False,False,False,True
CHN_Qingdao-33_9_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'N/A'}]",['None'],30686,False,False,False,False,False,True
CHN_Qingdao-38_3_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,False,True
CHN_Qingdao-6_4_T-1,none,False,[],[],,False,False,False,False,False,True
CHN_Qingdao-6_6_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],,False,False,False,False,False,True
CHN_Qingdao-7_16_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': '0'}]",['None'],None,False,False,False,False,False,True
CHN_Qingdao-7_20_T-1,none,False,[],[],,False,False,False,False,False,True
CHN_Qingdao-7_4_T-1,none,False,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],,False,False,False,False,False,True
CHN_Qingdao-8_1_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,False,True
DEU_A99-1_2_T-1,none,False,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],,False,False,False,False,False,True
DEU_Arnstadt-11_1_T-2,none,False,"[{'ObstacleID': None, 'OverallRiskScore': None}]",[None],,False,False,False,False,False,True
DEU_Arnstadt-20_1_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'N/A'}]",['None'],None,False,False,False,False,False,True
DEU_Arnstadt-3_1_T-3,none,True,[],[],20057,False,False,False,False,False,True
DEU_Arnstadt-46_1_T-1,none,False,"[{'ObstacleID': 'None', 'OverallRiskScore': 'None'}]",['None'],None,False,False,False,False,False,True
DEU_Arnstadt-83_1_T-4,none,False,"[{'ObstacleID': '-', 'OverallRiskScore': '-'}]",['-'],-,False,False,False,False,False,True
DEU_Arnstadt-96_1_T-1,none,False,"[{'ObstacleID': '', 'OverallRiskScore': ''}]",[''],,False,False,False,False,False,True
DEU_Aschaffenburg-16_5_T-1,none,True,"[{'ObstacleID': '30370', 'OverallRiskScore': '0'}]",[30370],30370,False,False,False,False,False,True
DEU_Aschaffenburg-16_6_T-1,none,False,"[{'ObstacleID': 'N/A', 'OverallRiskScore': 'N/A'}]",['N/A'],N/A,False,False,False,False,False,True
DEU_Aschaffenburg-7_9_T-1,none,False,[],[],{},False,False,False,False,False,True
